"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"consented_grp[1]/bh_rpt[2]/bh6","3","337"
"consented_grp[1]/bh_rpt[2]/bh7","2","340"
"consented_grp[1]/bh_rpt[2]/bh8","6","342"
"consented_grp[1]/bh_rpt[2]/bh10","2","348"
"consented_grp[1]/bh_rpt[3]/bh1","10","349"
"consented_grp[1]/bh_rpt[3]/bh2","2","360"
"consented_grp[1]/bh_rpt[3]/bh3","3","362"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","1","365"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","10","366"
"consented_grp[1]/bh_rpt[3]/bh5","2","376"
"consented_grp[1]/bh_rpt[3]/bh6","3","378"
"consented_grp[1]/bh_rpt[3]/bh7","2","381"
"consented_grp[1]/bh_rpt[3]/bh10","2","383"
"consented_grp[1]/bh_rpt[4]/bh1","16","385"
"consented_grp[1]/bh_rpt[4]/bh2","10","401"
"consented_grp[1]/bh_rpt[4]/bh3","4","411"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","13","415"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","29","428"
"consented_grp[1]/bh_rpt[4]/bh5","2","457"
"consented_grp[1]/bh_rpt[4]/bh6","10","459"
"consented_grp[1]/bh_rpt[4]/bh7","2","469"
"consented_grp[1]/bh_rpt[4]/bh8","8","471"
"consented_grp[1]/bh_rpt[4]/bh10","11","479"
"consented_grp[1]/bh_rpt[5]/bh1","7","490"
"consented_grp[1]/bh_rpt[5]/bh2","2","496"
"consented_grp[1]/bh_rpt[5]/bh3","2","498"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","2","500"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","12","502"
"consented_grp[1]/bh_rpt[5]/bh5","4","515"
"consented_grp[1]/bh_rpt[5]/bh6","12","518"
"consented_grp[1]/bh_rpt[5]/bh7","2","530"
"consented_grp[1]/bh_rpt[5]/bh8","4","532"
"consented_grp[1]/bh_rpt[5]/bh10","2","536"
"consented_grp[1]/bh_rpt[6]/bh1","8","538"
"consented_grp[1]/bh_rpt[6]/bh2","2","546"
"consented_grp[1]/bh_rpt[6]/bh3","2","547"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","3","549"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","16","553"
"consented_grp[1]/bh_rpt[6]/bh5","2","569"
"consented_grp[1]/bh_rpt[6]/bh6","8","571"
"consented_grp[1]/bh_rpt[6]/bh7","2","579"
"consented_grp[1]/bh_rpt[6]/bh8","7","581"
"consented_grp[1]/bh_rpt[6]/bh10","3","588"
"consented_grp[1]/cp1_grp[1]/cp1_note","5","591"
"consented_grp[1]/cp1_grp[1]/cp1","5","591"
"consented_grp[1]/cp2_grp[1]/cp2_note","5","595"
"consented_grp[1]/cp2_grp[1]/cp2","5","595"
"consented_grp[1]/cp4","9","600"
"consented_grp[1]/un7","8","610"
"consented_grp[1]/ma1","5","617"
"consented_grp[1]/ma2","11","622"
"consented_grp[1]/ma3","2","633"
"consented_grp[1]/ma4","1","635"
"consented_grp[1]/ma7","3","637"
"consented_grp[1]/ma8a","12","640"
"consented_grp[1]/ma11a","4","652"
"consented_grp[1]/af_grp[1]/af2","6","657"
"consented_grp[1]/af_grp[1]/af3","3","661"
"consented_grp[1]/af_grp[1]/af4","15","662"
"consented_grp[1]/af_grp[1]/af6b","3","681"
"consented_grp[1]/af_grp[1]/af8b","1","683"
"consented_grp[1]/af_grp[1]/af9","9","685"
"consented_grp[1]/af_grp[1]/af10","3","694"
"consented_grp[1]/af_grp[1]/af11","1","697"
"consented_grp[1]/af_grp[1]/af12","3","698"
"consented_grp[1]/ls1_grp[1]/ls_note","14","701"
"consented_grp[1]/ls1_grp[1]/ls1","14","701"
"consented_grp[1]/ls2_grp[1]/ls2_note","3","715"
"consented_grp[1]/ls2_grp[1]/ls2","3","715"
"consented_grp[1]/ls3","1","718"
"consented_grp[1]/ls4","1","719"
"consented_grp[1]/survey_language","2","721"
"consented_grp[1]/survey_accomp","2","723"
"consented_grp[1]/comment","4","725"
