"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"consented_grp[1]/ma8a","49","2597"
"consented_grp[1]/ma11a","60","2646"
"consented_grp[1]/af_grp[1]/af2","12","2706"
"consented_grp[1]/af_grp[1]/af3","8","2718"
"consented_grp[1]/af_grp[1]/af4","14","2725"
"consented_grp[1]/af_grp[1]/af6b","8","2740"
"consented_grp[1]/af_grp[1]/af8b","4","2748"
"consented_grp[1]/af_grp[1]/af9","7","2752"
"consented_grp[1]/af_grp[1]/af10","29","2759"
"consented_grp[1]/af_grp[1]/af11","12","2788"
"consented_grp[1]/af_grp[1]/af12","19","2800"
"consented_grp[1]/ls1_grp[1]/ls_note","75","2819"
"consented_grp[1]/ls1_grp[1]/ls1","75","2819"
"consented_grp[1]/ls2_grp[1]/ls2_note","34","2893"
"consented_grp[1]/ls2_grp[1]/ls2","34","2893"
"consented_grp[1]/ls3","37","2927"
"consented_grp[1]/ls4","15","2964"
"consented_grp[1]/survey_language","3","2979"
"consented_grp[1]/survey_accomp","4","2982"
"consented_grp[1]/comment","15","2986"
