"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","310"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","311"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","7","313"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","320"
"consented_grp[1]/hhm_rpt[2]/ed4","2","322"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","1","324"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","3","326"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","8","327"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","2","336"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","7","337"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","7","337"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","344"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","344"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","344"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","357"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","359"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","360"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","8","363"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","6","372"
"consented_grp[1]/hhm_rpt[3]/ed4","2","377"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","379"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","4","381"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","1","384"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","1","386"
"consented_grp[1]/hhm_rpt[3]/ed9","2","387"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","389"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","1","391"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","1","393"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","2","394"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","27","395"
"consented_grp[1]/hhm_rpt[3]/ed15","5","397"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","3","399"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","432"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","6","434"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","6","434"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","441"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","441"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","441"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","1","466"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","1","468"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","469"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","13","470"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","1","484"
"consented_grp[1]/hhm_rpt[4]/ed4","2","485"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","3","487"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","16","490"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","2","505"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","1","508"
"consented_grp[1]/hhm_rpt[4]/ed9","2","509"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","3","511"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","2","514"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","1","515"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","1","517"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","8","518"
"consented_grp[1]/hhm_rpt[4]/ed15","2","526"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","2","528"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","1","530"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","7","532"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","7","532"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","538"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","538"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","538"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","1","551"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","1","553"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","4","554"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","8","559"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","1","567"
"consented_grp[1]/hhm_rpt[5]/ed4","2","568"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","2","570"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","2","572"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","2","574"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","3","576"
"consented_grp[1]/hhm_rpt[5]/ed9","2","578"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","1","580"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","2","582"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","1","583"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed13","1","585"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","4","586"
"consented_grp[1]/hhm_rpt[5]/ed15","2","590"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","2","592"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","1","595"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","9","596"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","9","596"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","605"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","605"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","605"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","1","618"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","1","620"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","5","621"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","12","626"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","1","638"
"consented_grp[1]/hhm_rpt[6]/ed4","2","639"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a","4","642"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a_a","1","646"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5b","1","647"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed6","2","649"
"consented_grp[1]/hhm_rpt[6]/ed9","1","651"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed10","2","652"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed11a","1","654"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed12","1","655"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed13","1","657"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed14","12","658"
"consented_grp[1]/hhm_rpt[6]/ed15","2","670"
"consented_grp[1]/hhm_rpt[6]/ed16_grp[1]/ed16a","2","672"
"consented_grp[1]/hhm_rpt[6]/ed16_grp[1]/ed16b","1","673"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_note","8","675"
"consented_grp[1]/hhm_rpt[6]/hhm_add_grp[1]/hhm_add_yn","8","675"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","682"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","682"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","682"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl3","3","696"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl4","2","699"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_age_sel","2","700"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl5_dob_dmy","5","703"
"consented_grp[1]/hhm_rpt[7]/hhmemb_info[1]/hl7","1","707"
"consented_grp[1]/hhm_rpt[7]/ed4","1","709"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5a","2","710"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5a_a","1","712"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed5b","1","714"
"consented_grp[1]/hhm_rpt[7]/ed5_grp[1]/ed6","2","715"
"consented_grp[1]/hhm_rpt[7]/ed9","1","717"
"consented_grp[1]/hhm_rpt[7]/ed9_grp[1]/ed10","1","718"
"consented_grp[1]/hhm_rpt[7]/ed9_grp[1]/ed11a","1","720"
"consented_grp[1]/hhm_rpt[7]/ed9_grp[1]/ed12","1","721"
"consented_grp[1]/hhm_rpt[7]/ed9_grp[1]/ed13","1","722"
"consented_grp[1]/hhm_rpt[7]/ed9_grp[1]/ed14","3","723"
"consented_grp[1]/hhm_rpt[7]/ed15","2","726"
"consented_grp[1]/hhm_rpt[7]/ed16_grp[1]/ed16a","3","728"
"consented_grp[1]/hhm_rpt[7]/ed16_grp[1]/ed16b","2","731"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_note","10","732"
"consented_grp[1]/hhm_rpt[7]/hhm_add_grp[1]/hhm_add_yn","10","732"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","742"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","742"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","742"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/hl3","8","756"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/hl4","1","764"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/hl5_age_sel","1","765"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/hl5_dob_dmy","7","766"
"consented_grp[1]/hhm_rpt[8]/hhmemb_info[1]/hl7","2","774"
"consented_grp[1]/hhm_rpt[8]/ed4","1","776"
"consented_grp[1]/hhm_rpt[8]/ed5_grp[1]/ed5a","3","777"
"consented_grp[1]/hhm_rpt[8]/ed5_grp[1]/ed5a_a","2","780"
"consented_grp[1]/hhm_rpt[8]/ed5_grp[1]/ed5b","1","782"
"consented_grp[1]/hhm_rpt[8]/ed5_grp[1]/ed6","2","783"
"consented_grp[1]/hhm_rpt[8]/ed9","2","786"
"consented_grp[1]/hhm_rpt[8]/ed9_grp[1]/ed10","7","787"
"consented_grp[1]/hhm_rpt[8]/ed9_grp[1]/ed11a","2","794"
"consented_grp[1]/hhm_rpt[8]/ed9_grp[1]/ed12","1","796"
"consented_grp[1]/hhm_rpt[8]/ed9_grp[1]/ed13","1","797"
"consented_grp[1]/hhm_rpt[8]/ed9_grp[1]/ed14","2","798"
"consented_grp[1]/hhm_rpt[8]/ed15","2","800"
"consented_grp[1]/hhm_rpt[8]/ed16_grp[1]/ed16a","2","802"
"consented_grp[1]/hhm_rpt[8]/ed16_grp[1]/ed16b","2","804"
"consented_grp[1]/hhm_rpt[8]/hhm_add_grp[1]/hhm_add_note","13","806"
"consented_grp[1]/hhm_rpt[8]/hhm_add_grp[1]/hhm_add_yn","13","806"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","47","818"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","47","818"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","47","818"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/hl3","5","865"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/hl4","2","870"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/hl5_age_sel","1","872"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/hl5_dob_dmy","9","873"
"consented_grp[1]/hhm_rpt[9]/hhmemb_info[1]/hl7","3","881"
"consented_grp[1]/hhm_rpt[9]/hhm_add_grp[1]/hhm_add_note","99","883"
"consented_grp[1]/hhm_rpt[9]/hhm_add_grp[1]/hhm_add_yn","99","883"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","2","978"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","2","978"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","2","978"
"consented_grp[1]/hhm_ch_intro","2","1028"
"consented_grp[1]/hhm_rpt[10]/hhm_add_grp[1]/hhm_add_note","10","1029"
"consented_grp[1]/hhm_rpt[10]/hhm_add_grp[1]/hhm_add_yn","10","1029"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/hl7","3","1031"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/hl3","4","1041"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/hl4","2","1045"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/hl5_age_sel","99","1046"
"consented_grp[1]/hhm_rpt[10]/hhmemb_info[1]/hl5_dob_dmy","7","1146"
"consented_grp[1]/hhm_rpt[10]/ed4","1","1154"
"consented_grp[1]/hhm_rpt[10]/ed5_grp[1]/ed5a","2","1155"
"consented_grp[1]/hhm_rpt[10]/ed5_grp[1]/ed5a_a","2","1157"
"consented_grp[1]/hhm_rpt[10]/ed5_grp[1]/ed5b","1","1159"
"consented_grp[1]/hhm_rpt[10]/ed5_grp[1]/ed6","2","1160"
"consented_grp[1]/hhm_rpt[10]/ed9","2","1162"
"consented_grp[1]/hhm_rpt[10]/ed9_grp[1]/ed10","1","1164"
"consented_grp[1]/hhm_rpt[10]/ed9_grp[1]/ed11a","2","1166"
"consented_grp[1]/hhm_rpt[10]/ed9_grp[1]/ed12","1","1167"
"consented_grp[1]/hhm_rpt[10]/ed9_grp[1]/ed13","1","1168"
"consented_grp[1]/hhm_rpt[10]/ed9_grp[1]/ed14","8","1169"
"consented_grp[1]/hhm_rpt[10]/ed15","2","1177"
"consented_grp[1]/hhm_rpt[10]/ed16_grp[1]/ed16a","2","1179"
"consented_grp[1]/hhm_rpt[10]/ed16_grp[1]/ed16b","1","1181"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","2","1191"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","1193"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","1194"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","2","1196"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","1","1198"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","1","1199"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","1","1200"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","1","1202"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","1","1203"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","1","1204"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","1","1205"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","1","1206"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","1","1207"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","1","1208"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","1","1209"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","1","1210"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","1","1211"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17b","1","1212"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl12","1","1213"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl13a","1","1215"
"consented_grp[1]/hhm_ch_rpt[4]/h12_grp[1]/hl13b","1","1216"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl16","1","1217"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl17a","1","1217"
"consented_grp[1]/hhm_ch_rpt[4]/h16_grp[1]/hl17b","1","1218"
"consented_grp[1]/hhm_ch_rpt[5]/h12_grp[1]/hl12","2","1220"
"consented_grp[1]/hhm_ch_rpt[5]/h12_grp[1]/hl13a","1","1222"
"consented_grp[1]/hhm_ch_rpt[5]/h12_grp[1]/hl13b","1","1223"
"consented_grp[1]/hhm_ch_rpt[5]/h16_grp[1]/hl16","4","1224"
"consented_grp[1]/hhm_ch_rpt[5]/h16_grp[1]/hl17a","1","1228"
"consented_grp[1]/hhm_ch_rpt[5]/h16_grp[1]/hl17b","2","1229"
"consented_grp[1]/hhm_ch_rpt[6]/h12_grp[1]/hl12","3","1231"
"consented_grp[1]/hhm_ch_rpt[6]/h12_grp[1]/hl13a","8","1235"
"consented_grp[1]/hhm_ch_rpt[6]/h12_grp[1]/hl15","7","1242"
"consented_grp[1]/hhm_ch_rpt[6]/h16_grp[1]/hl16","3","1248"
"consented_grp[1]/hhm_ch_rpt[6]/h16_grp[1]/hl17a","4","1252"
"consented_grp[1]/hhm_ch_rpt[6]/h16_grp[1]/hl19","4","1257"
"consented_grp[1]/hhm_ch_rpt[6]/h20_grp[1]/hl20_ct","4","1260"
"consented_grp[1]/hhm_ch_rpt[6]/h20_grp[1]/hl20_oth","6","1263"
"consented_grp[1]/u5_rpt[1]/u5_note","11","1270"
"consented_grp[1]/hc_grp[1]/hc1a","7","1281"
"consented_grp[1]/hc_grp[1]/hc1b","6","1288"
"consented_grp[1]/hc_grp[1]/hc2","1","1294"
"consented_grp[1]/hc_grp[1]/hc3","19","1295"
"consented_grp[1]/hc_grp[1]/hc4","2","1314"
"consented_grp[1]/hc_grp[1]/hc5","2","1316"
"consented_grp[1]/hc_grp[1]/hc6","4","1318"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","36","1321"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","36","1321"
"consented_grp[1]/hc_grp[1]/hc8","2","1357"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","19","1359"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","19","1359"
"consented_grp[1]/hc_grp[1]/hc11","4","1378"
"consented_grp[1]/hc_grp[1]/hc12","3","1383"
"consented_grp[1]/hc_grp[1]/hc13","2","1385"
"consented_grp[1]/hc_grp[1]/hc14","4","1387"
"consented_grp[1]/hc_grp[1]/hc15","2","1391"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","3","1393"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","3","1393"
"consented_grp[1]/hc_grp[1]/hc17","5","1396"
"consented_grp[1]/hc_grp[1]/hc18","32","1401"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/note","59","1433"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18d","59","1433"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18e","59","1433"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18f","59","1433"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18h","59","1433"
"consented_grp[1]/hc_grp[1]/hc19","10","1492"
"consented_grp[1]/st_intonote","1","1502"
"consented_grp[1]/st_rpt[1]/st1a","36","1504"
"consented_grp[1]/st_rpt[1]/st1b","44","1540"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1c_note","27","1584"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1cb","27","1584"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1ca","27","1584"
"consented_grp[1]/st_rpt[2]/st1a","43","1611"
"consented_grp[1]/st_rpt[2]/st1b","3","1654"
"consented_grp[1]/st_rpt[3]/st1a","8","1657"
"consented_grp[1]/st_rpt[3]/st1b","1","1665"
"consented_grp[1]/st_rpt[4]/st1a","8","1666"
"consented_grp[1]/st_rpt[5]/st1a","11","1675"
"consented_grp[1]/st_rpt[5]/st1b","2","1686"
"consented_grp[1]/st_rpt[5]/st1_add_yn","2","1689"
"consented_grp[1]/eu1","8","1690"
"consented_grp[1]/eu2","4","1697"
"consented_grp[1]/eu4_grp[1]/eu4","2","1701"
"consented_grp[1]/eu5_grp[1]/eu5","2","1703"
"consented_grp[1]/eu6","19","1706"
"consented_grp[1]/eu9","15","1725"
"consented_grp[1]/tn1","12","1740"
"consented_grp[1]/tn2","1","1751"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","1","1753"
"consented_grp[1]/tn_rpt[1]/tn3","1","1754"
"consented_grp[1]/tn_rpt[1]/tn4","17","1755"
"consented_grp[1]/tn_rpt[1]/tn5","1","1772"
"consented_grp[1]/tn_rpt[1]/tn10","1","1774"
"consented_grp[1]/tn_rpt[1]/tn12","1","1775"
"consented_grp[1]/tn_rpt[1]/tn13","2","1776"
"consented_grp[1]/tn_rpt[1]/tn15","10","1778"
"consented_grp[1]/tn_rpt[2]/generated_note_name_438","1","1788"
"consented_grp[1]/tn_rpt[2]/tn3","1","1789"
"consented_grp[1]/tn_rpt[2]/tn4","13","1791"
"consented_grp[1]/tn_rpt[2]/tn5","1","1803"
"consented_grp[1]/tn_rpt[2]/tn10","1","1804"
"consented_grp[1]/tn_rpt[2]/tn12","1","1806"
"consented_grp[1]/tn_rpt[2]/tn13","2","1807"
"consented_grp[1]/tn_rpt[2]/tn15","11","1809"
"consented_grp[1]/tn_rpt[3]/generated_note_name_438","1","1820"
"consented_grp[1]/tn_rpt[3]/tn3","1","1821"
"consented_grp[1]/tn_rpt[3]/tn4","10","1822"
"consented_grp[1]/tn_rpt[3]/tn5","1","1832"
"consented_grp[1]/tn_rpt[3]/tn10","1","1833"
"consented_grp[1]/tn_rpt[3]/tn12","1","1834"
"consented_grp[1]/tn_rpt[3]/tn13","1","1836"
"consented_grp[1]/tn_rpt[3]/tn15","47","1837"
"consented_grp[1]/tn_rpt[4]/generated_note_name_438","1","1884"
